ts_ns,tau_s,btc_microprice,btc_bid,btc_ask,yes_bid,yes_ask,yes_mid,floor_strike,window_ticker
1778127223997230300,76.0,80851.52,80851.51,80851.52,0.6700,0.6800,0.6750,80845.71,KXBTC15M-26MAY070015-15
1778127225011727500,75.0,80851.52,80851.51,80851.52,0.6700,0.6800,0.6750,80845.71,KXBTC15M-26MAY070015-15
1778127226025557800,74.0,80851.52,80851.51,80851.52,0.6700,0.6800,0.6750,80845.71,KXBTC15M-26MAY070015-15
1778127227040736300,73.0,80851.52,80851.51,80851.52,0.6700,0.6800,0.6750,80845.71,KXBTC15M-26MAY070015-15
1778127228042066000,72.0,80851.52,80851.51,80851.52,0.6700,0.6800,0.6750,80845.71,KXBTC15M-26MAY070015-15
1778127229051679600,70.9,80854.59,80854.58,80854.59,0.6700,0.6800,0.6750,80845.71,KXBTC15M-26MAY070015-15
1778127230066692900,69.9,80854.59,80854.58,80854.59,0.6700,0.6800,0.6750,80845.71,KXBTC15M-26MAY070015-15
1778127231082198900,68.9,80854.59,80854.58,80854.59,0.6700,0.6800,0.6750,80845.71,KXBTC15M-26MAY070015-15
1778127232083227700,67.9,80854.59,80854.58,80854.59,0.6700,0.6800,0.6750,80845.71,KXBTC15M-26MAY070015-15
1778127233096305200,66.9,80854.59,80854.58,80854.59,0.8300,0.8500,0.8400,80845.71,KXBTC15M-26MAY070015-15
1778127234109263200,65.9,80854.59,80854.58,80854.59,0.8300,0.8500,0.8400,80845.71,KXBTC15M-26MAY070015-15
1778127235112507900,64.9,80854.79,80854.78,80854.79,0.8300,0.8500,0.8400,80845.71,KXBTC15M-26MAY070015-15
1778127236117239500,63.9,80856.30,80856.29,80856.30,0.8300,0.8500,0.8400,80845.71,KXBTC15M-26MAY070015-15
1778127237118332900,62.9,80856.29,80856.29,80856.30,0.8300,0.8500,0.8400,80845.71,KXBTC15M-26MAY070015-15
1778127238119700000,61.9,80856.29,80856.29,80856.30,0.8300,0.8500,0.8400,80845.71,KXBTC15M-26MAY070015-15
1778127239131483500,60.9,80856.29,80856.29,80856.30,0.8300,0.8500,0.8400,80845.71,KXBTC15M-26MAY070015-15
1778127240132734800,59.9,80856.29,80856.29,80856.30,0.8300,0.8500,0.8400,80845.71,KXBTC15M-26MAY070015-15
1778127241139948300,58.9,80856.29,80856.29,80856.30,0.8300,0.8500,0.8400,80845.71,KXBTC15M-26MAY070015-15
1778127242148687500,57.9,80856.29,80856.29,80856.30,0.8300,0.8500,0.8400,80845.71,KXBTC15M-26MAY070015-15
1778127243148863300,56.9,80866.87,80866.86,80866.87,0.9390,0.9490,0.9440,80845.71,KXBTC15M-26MAY070015-15
