ts_ns,tau_s,btc_microprice,btc_bid,btc_ask,cb_microprice,bn_microprice,yes_bid,yes_ask,yes_mid,floor_strike,window_ticker
1778132239325670400,460.7,81065.17,81065.17,81065.18,81065.17,81065.17,0.2100,0.2200,0.2150,81105.82,KXBTC15M-26MAY070145-45
1778132239435113200,460.6,81065.17,81065.17,81065.18,81065.17,81065.17,0.2100,0.2200,0.2150,81105.82,KXBTC15M-26MAY070145-45
1778132239545903700,460.5,81065.17,81065.17,81065.18,81065.17,81065.17,0.2100,0.2200,0.2150,81105.82,KXBTC15M-26MAY070145-45
1778132239655825400,460.3,81065.17,81065.17,81065.18,81065.17,81065.17,0.2100,0.2200,0.2150,81105.82,KXBTC15M-26MAY070145-45
1778132239764829300,460.2,81065.17,81065.17,81065.18,81065.17,81065.17,0.2100,0.2200,0.2150,81105.82,KXBTC15M-26MAY070145-45
1778132239872736500,460.1,81065.17,81065.17,81065.18,81065.17,81065.17,0.2100,0.2200,0.2150,81105.82,KXBTC15M-26MAY070145-45
1778132239984093300,460.0,81065.17,81065.17,81065.18,81065.17,81065.17,0.2100,0.2200,0.2150,81105.82,KXBTC15M-26MAY070145-45
1778132240093991900,459.9,81065.17,81065.17,81065.18,81065.17,81065.17,0.2100,0.2200,0.2150,81105.82,KXBTC15M-26MAY070145-45
1778132240202989400,459.8,81065.17,81065.17,81065.18,81065.17,81065.17,0.2100,0.2200,0.2150,81105.82,KXBTC15M-26MAY070145-45
1778132240311208300,459.7,81065.17,81065.17,81065.18,81065.17,81065.17,0.2100,0.2200,0.2150,81105.82,KXBTC15M-26MAY070145-45
1778132240416648800,459.6,81065.17,81065.17,81065.18,81065.17,81065.17,0.2100,0.2200,0.2150,81105.82,KXBTC15M-26MAY070145-45
1778132240528671500,459.5,81065.17,81065.17,81065.18,81065.17,81065.17,0.2100,0.2200,0.2150,81105.82,KXBTC15M-26MAY070145-45
1778132240637804700,459.4,81065.17,81065.17,81065.18,81065.17,81065.17,0.2100,0.2200,0.2150,81105.82,KXBTC15M-26MAY070145-45
1778132240747629900,459.3,81059.50,81059.50,81059.51,81059.50,81059.50,0.2100,0.2200,0.2150,81105.82,KXBTC15M-26MAY070145-45
1778132240849750800,459.2,81059.50,81059.50,81059.51,81059.50,81059.50,0.2100,0.2200,0.2150,81105.82,KXBTC15M-26MAY070145-45
1778132240954802900,459.0,81059.50,81059.50,81059.51,81059.50,81059.50,0.2100,0.2200,0.2150,81105.82,KXBTC15M-26MAY070145-45
1778132241058457200,458.9,81059.50,81059.50,81059.51,81059.50,81059.50,0.2100,0.2200,0.2150,81105.82,KXBTC15M-26MAY070145-45
1778132241170801000,458.8,81059.50,81059.50,81059.51,81059.50,81059.50,0.2100,0.2200,0.2150,81105.82,KXBTC15M-26MAY070145-45
1778132241280449100,458.7,81059.50,81059.50,81059.51,81059.50,81059.50,0.2100,0.2200,0.2150,81105.82,KXBTC15M-26MAY070145-45
1778132241388750000,458.6,81059.50,81059.50,81059.51,81059.50,81059.50,0.2100,0.2200,0.2150,81105.82,KXBTC15M-26MAY070145-45
1778132241497456200,458.5,81059.50,81059.50,81059.51,81059.50,81059.50,0.2100,0.2200,0.2150,81105.82,KXBTC15M-26MAY070145-45
1778132241605755400,458.4,81059.50,81059.50,81059.51,81059.50,81059.50,0.2100,0.2200,0.2150,81105.82,KXBTC15M-26MAY070145-45
1778132241719683600,458.3,81059.50,81059.50,81059.51,81059.50,81059.50,0.2100,0.2200,0.2150,81105.82,KXBTC15M-26MAY070145-45
1778132241824764900,458.2,81059.50,81059.50,81059.51,81059.50,81059.50,0.2100,0.2200,0.2150,81105.82,KXBTC15M-26MAY070145-45
1778132241933391700,458.1,81059.50,81059.50,81059.51,81059.50,81059.50,0.2100,0.2200,0.2150,81105.82,KXBTC15M-26MAY070145-45
1778132242041904300,458.0,81059.50,81059.50,81059.51,81059.50,81059.50,0.2100,0.2200,0.2150,81105.82,KXBTC15M-26MAY070145-45
1778132242151513500,457.8,81059.50,81059.50,81059.51,81059.50,81059.50,0.2100,0.2200,0.2150,81105.82,KXBTC15M-26MAY070145-45
1778132242259470600,457.7,81059.50,81059.50,81059.51,81059.50,81059.50,0.2100,0.2200,0.2150,81105.82,KXBTC15M-26MAY070145-45
1778132242367664900,457.6,81059.50,81059.50,81059.51,81059.50,81059.50,0.2100,0.2200,0.2150,81105.82,KXBTC15M-26MAY070145-45
1778132242477308900,457.5,81059.50,81059.50,81059.51,81059.50,81059.50,0.2100,0.2200,0.2150,81105.82,KXBTC15M-26MAY070145-45
1778132242585172900,457.4,81059.50,81059.50,81059.51,81059.50,81059.50,0.2100,0.2200,0.2150,81105.82,KXBTC15M-26MAY070145-45
1778132242693514800,457.3,81059.50,81059.50,81059.51,81059.50,81059.50,0.2100,0.2200,0.2150,81105.82,KXBTC15M-26MAY070145-45
1778132242802924100,457.2,81059.50,81059.50,81059.51,81059.50,81059.50,0.2100,0.2200,0.2150,81105.82,KXBTC15M-26MAY070145-45
1778132242912791700,457.1,81059.50,81059.50,81059.51,81059.50,81059.50,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132243022437600,457.0,81059.50,81059.50,81059.51,81059.50,81059.50,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132243132854000,456.9,81059.50,81059.50,81059.51,81059.50,81059.50,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132243241921700,456.8,81059.50,81059.50,81059.51,81059.50,81059.50,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132243349586500,456.7,81059.50,81059.50,81059.51,81059.50,81059.50,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132243459290400,456.5,81059.50,81059.50,81059.51,81059.50,81059.50,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132243567503500,456.4,81059.50,81059.50,81059.51,81059.50,81059.50,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132243677927600,456.3,81059.50,81059.50,81059.51,81059.50,81059.50,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132243787781200,456.2,81059.50,81059.50,81059.51,81059.50,81059.50,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132243896609800,456.1,81059.50,81059.50,81059.51,81059.50,81059.50,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132244004851100,456.0,81059.50,81059.50,81059.51,81059.50,81059.50,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132244113058200,455.9,81059.50,81059.50,81059.51,81059.50,81059.50,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132244221286500,455.8,81059.50,81059.50,81059.51,81059.50,81059.50,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132244331591300,455.7,81059.50,81059.50,81059.51,81059.50,81059.50,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132244439545800,455.6,81059.50,81059.50,81059.51,81059.50,81059.50,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132244549414500,455.5,81059.50,81059.50,81059.51,81059.50,81059.50,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132244658080900,455.3,81059.50,81059.50,81059.51,81059.50,81059.50,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132244769093700,455.2,81059.50,81059.50,81059.51,81059.50,81059.50,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132244877497400,455.1,81059.50,81059.50,81059.51,81059.50,81059.50,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132244986433300,455.0,81059.50,81059.50,81059.51,81059.50,81059.50,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132245096064600,454.9,81059.50,81059.50,81059.51,81059.50,81059.50,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132245205408300,454.8,81059.50,81059.50,81059.51,81059.50,81059.50,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132245314925200,454.7,81059.50,81059.50,81059.51,81059.50,81059.50,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132245423490300,454.6,81059.50,81059.50,81059.51,81059.50,81059.50,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132245531897800,454.5,81050.79,81050.00,81052.84,81050.79,81050.79,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132245640855700,454.4,81050.79,81050.00,81052.84,81050.79,81050.79,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132245750624900,454.2,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132245860719700,454.1,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132245970647400,454.0,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132246079377500,453.9,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132246187732300,453.8,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132246297767900,453.7,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132246405830300,453.6,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132246515998600,453.5,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132246625925500,453.4,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132246735913000,453.3,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132246843810100,453.2,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132246953269700,453.0,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132247062468900,452.9,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132247170551100,452.8,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132247279865700,452.7,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132247389029700,452.6,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132247492405600,452.5,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132247606700100,452.4,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132247716318000,452.3,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132247826521600,452.2,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132247934937500,452.1,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132248043638200,452.0,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132248152312100,451.8,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132248261919800,451.7,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132248370102600,451.6,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132248478367400,451.5,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132248587146100,451.4,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132248689854800,451.3,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132248794441500,451.2,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132248897057600,451.1,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132249006065900,451.0,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132249115116800,450.9,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132249223719700,450.8,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132249334140900,450.7,81048.01,81048.00,81048.01,81048.01,81048.01,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132249444042900,450.6,81048.01,81048.00,81048.01,81048.01,81048.01,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132249552306800,450.4,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132249662236700,450.3,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132249771707500,450.2,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132249881539700,450.1,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132249989894600,450.0,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132250100112100,449.9,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132250208122400,449.8,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132250317410100,449.7,81048.01,81048.00,81048.01,81048.01,81048.01,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132250426355000,449.6,81048.01,81048.00,81048.01,81048.01,81048.01,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132250534979700,449.5,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132250646363600,449.4,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132250754984000,449.2,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132250863964600,449.1,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132250973219200,449.0,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132251081770200,448.9,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132251190253900,448.8,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132251299823800,448.7,81048.01,81048.00,81048.01,81048.01,81048.01,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132251410441600,448.6,81048.01,81048.00,81048.01,81048.01,81048.01,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132251518845900,448.5,81048.01,81048.00,81048.01,81048.01,81048.01,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132251627244500,448.4,81048.01,81048.00,81048.01,81048.01,81048.01,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132251737063500,448.3,81048.01,81048.00,81048.01,81048.01,81048.01,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132251846380600,448.2,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132251954835600,448.0,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132252064798300,447.9,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132252172517600,447.8,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132252281610300,447.7,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132252390000900,447.6,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132252492599000,447.5,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132252594070100,447.4,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132252704194800,447.3,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132252812871900,447.2,81048.00,81048.00,81048.01,81048.00,81048.00,0.2200,0.2300,0.2250,81105.82,KXBTC15M-26MAY070145-45
1778132252922893100,447.1,81048.00,81048.00,81048.01,81048.00,81048.00,0.1700,0.1800,0.1750,81105.82,KXBTC15M-26MAY070145-45
1778132253034741100,447.0,81048.00,81048.00,81048.01,81048.00,81048.00,0.1700,0.1800,0.1750,81105.82,KXBTC15M-26MAY070145-45
1778132253146208700,446.9,81048.00,81048.00,81048.01,81048.00,81048.00,0.1700,0.1800,0.1750,81105.82,KXBTC15M-26MAY070145-45
1778132253254898900,446.7,81048.00,81048.00,81048.01,81048.00,81048.00,0.1700,0.1800,0.1750,81105.82,KXBTC15M-26MAY070145-45
1778132253364484600,446.6,81048.00,81048.00,81048.01,81048.00,81048.00,0.1700,0.1800,0.1750,81105.82,KXBTC15M-26MAY070145-45
1778132253473347500,446.5,81048.00,81048.00,81048.01,81048.00,81048.00,0.1700,0.1800,0.1750,81105.82,KXBTC15M-26MAY070145-45
1778132253581731700,446.4,81048.00,81048.00,81048.01,81048.00,81048.00,0.1700,0.1800,0.1750,81105.82,KXBTC15M-26MAY070145-45
1778132253686193100,446.3,81048.00,81048.00,81048.01,81048.00,81048.00,0.1700,0.1800,0.1750,81105.82,KXBTC15M-26MAY070145-45
1778132253801789400,446.2,81048.00,81048.00,81048.01,81048.00,81048.00,0.1700,0.1800,0.1750,81105.82,KXBTC15M-26MAY070145-45
1778132253910353600,446.1,81048.00,81048.00,81048.01,81048.00,81048.00,0.1700,0.1800,0.1750,81105.82,KXBTC15M-26MAY070145-45
1778132254019234800,446.0,81048.01,81048.00,81048.01,81048.01,81048.01,0.1700,0.1800,0.1750,81105.82,KXBTC15M-26MAY070145-45
1778132254127016300,445.9,81048.01,81048.00,81048.01,81048.01,81048.01,0.1700,0.1800,0.1750,81105.82,KXBTC15M-26MAY070145-45
1778132254235902600,445.8,81048.01,81048.00,81048.01,81048.01,81048.01,0.1700,0.1800,0.1750,81105.82,KXBTC15M-26MAY070145-45
1778132254340180600,445.7,81048.01,81048.00,81048.01,81048.01,81048.01,0.1700,0.1800,0.1750,81105.82,KXBTC15M-26MAY070145-45
1778132254456227700,445.5,81048.01,81048.00,81048.01,81048.01,81048.01,0.1700,0.1800,0.1750,81105.82,KXBTC15M-26MAY070145-45
1778132254564956100,445.4,81048.01,81048.00,81048.01,81048.01,81048.01,0.1700,0.1800,0.1750,81105.82,KXBTC15M-26MAY070145-45
1778132254674641200,445.3,81048.01,81048.00,81048.01,81048.01,81048.01,0.1700,0.1800,0.1750,81105.82,KXBTC15M-26MAY070145-45
